Rank,Team,Won,Lost,Tied,Pct.,First NFL Season,Total Games,Division,Zone
0,1,Dallas Cowboys,502,374,6,0.573,1960,882,NFC East
1,2,Green Bay Packers,737,562,37,0.565,1921,"1,336",NFC North
2,3,Chicago Bears,749,579,42,0.562,1920,"1,370",NFC North
3,4,Miami Dolphins,445,351,4,0.559,1966,800,AFC East
4,5,New England Patriots[b],489,386,9,0.558,1960,884,AFC East
5,6,Minnesota Vikings,470,390,10,0.546,1961,870,NFC North
6,7,Baltimore Ravens,190,161,1,0.541,1996,352,AFC North
7,8,New York Giants,687,585,33,0.539,1925,"1,305",NFC East
8,9,Denver Broncos,470,404,10,0.537,1960,884,AFC West
9,10,San Francisco 49ers,528,460,14,0.534,1950,"1,002",NFC West
10,11,Pittsburgh Steelers,614,538,20,0.532,1933,"1,172",AFC North
11,12,Oakland Raiders,462,411,11,0.529,1960,884,AFC West
12,13,Indianapolis Colts[c],506,453,7,0.527,1953,966,AFC South
13,14,Kansas City Chiefs,457,415,12,0.524,1960,884,AFC West
14,15,Seattle Seahawks,334,325,1,0.507,1976,660,NFC West
15,16,Washington Redskins,595,581,28,0.506,1932,"1,202",NFC East
16,17,Carolina Panthers,183,184,1,0.499,1995,368,NFC South
17,18,Los Angeles Chargers,435,438,11,0.498,1960,884,AFC West
18,19,Los Angeles Rams,555,559,21,0.498,1937,"1,135",NFC West
19,20,Cleveland Browns,462,482,10,0.49,1950,954,AFC North
20,21,Philadelphia Eagles,568,594,26,0.489,1933,"1,188",NFC East
21,22,Tennessee Titans,422,456,6,0.481,1960,884,AFC South
22,23,Buffalo Bills,409,467,8,0.467,1960,884,AFC East
23,24,Detroit Lions,553,648,32,0.461,1930,"1,233",NFC North
24,25,Cincinnati Bengals,351,417,4,0.457,1968,772,AFC North
25,26,New York Jets,397,479,8,0.454,1960,884,AFC East
26,27,Jacksonville Jaguars,165,203,0,0.448,1995,368,AFC South
27,28,New Orleans Saints,349,432,5,0.447,1967,786,NFC South
28,29,Atlanta Falcons,351,443,6,0.443,1966,790,NFC South
29,30,Houston Texans,110,146,0,0.43,2002,256,AFC South
30,31,Arizona Cardinals,550,740,40,0.429,1920,"1,330",NFC West
31,32,Tampa Bay Buccaneers,255,404,1,0.387,1976,660,NFC South